tx_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
YPR183W_id002	0	0	0	0	0	27.0484	0	0	14.8119	0	0	0	0	0	0	0	31.8808	0	16.4149	0	0	0	0	0
YPR181C_id001	0	50.1307	72.7848	0	0	0	12.0438	0	0	0	0	0	0	112.598	129.601	50.353	0	144.418	87.0547	90.6033	0	0	0	139.503
YPR181C_id002	175.047	46.3907	75.7781	77.7359	130.321	133.332	134.133	112.203	111.285	107.98	132.693	148.365	125.786	0	0	80.3015	136.448	0	42.8797	0	112.886	108.64	88.7731	0
YPR180W_id003	57.5848	20.0768	44.6109	13.0136	61.7587	47.1847	40.7759	32.3143	33.0311	48.5943	52.8694	43.6953	29.7266	37.4744	30.7703	32.8464	58.9804	44.3318	29.2589	27.2402	34.7123	57.0982	36.2563	33.6216
YPR179C_id001	14.0155	0	17.5793	15.1389	25.0523	0	17.8639	24.7641	23.052	18.7266	24.6634	22.3334	0	11.5211	10.9841	0	18.7722	0	18.5364	16.5546	0	14.8897	0	0
YPR177C_mRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	45.8074	0	0	0	0	0	0	0	43.9819	0	0
YPR178W_id003	0	0	0	22.1058	30.7285	0	0	36.1606	0	30.2231	36.0136	0	24.3405	0	0	20.2341	35.4733	0	0	28.439	21.7706	14.6148	21.7018	24.813
YPR174C_id002	0	0	0	17.4773	0	52.1598	0	54.1803	21.8868	24.31	0	0	29.1519	0	34.1503	0	0	0	0	39.3589	43.2636	30.862	20.2157	49.0597
YPR173C_id004	103.531	67.1644	85.6032	63.2882	89.0949	73.8614	103.34	65.4984	100.477	58.8198	91.422	112.492	23.8969	75.0007	67.0077	69.3309	53.2899	82.8044	42.3964	45.5369	0	75.2958	33.149	70.4634
YPR172W_id002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR171W_id002	0	0	0	22.0191	29.4742	34.6084	25.8222	0	33.6837	23.4146	30.3268	0	11.7857	0	14.6851	25.3226	0	33.2431	0	19.8291	21.3639	21.3359	0	0
YPR170W-A_id002	13.0426	0	0	0	0	0	13.4379	10.5995	8.84267	0	14.2318	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR170W-A_id001	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1414	0	0	0	15.4031	0	0	0	0	0	0
YPR170W-B_id001	691.122	591.698	905.096	320.386	553.685	664.417	743.524	684.826	678.861	731.277	821.695	713.885	626.816	758.865	757.819	638.077	435.476	637.82	807.948	715.668	702.33	368.539	694.676	741.141
YPR169W-A_id003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR170C_id001	4.4324	0	0	2.72531	7.8906	3.60567	0	0	0	3.58784	0	0	0	0	3.54004	4.46263	3.96115	0	0	0	0	0	3.33974	0
YPR168W_id002	0	0	0	0	0	14.3412	0	17.3543	0	0	28.8438	0	0	0	0	0	0	28.7131	0	0	0	0	0	0
YPR167C_id003	99.2115	66.8461	0	51.9956	102.141	108.002	137.862	0	0	119.339	0	92.1465	0	0	42.1834	0	0	23.4933	0	65.0893	24.4857	0	0	62.041
YPR166C_id001	0	0	0	0	0	0	0	61.2026	0	0	0	0	0	0	0	0	45.3444	0	0	0	25.5096	0	0	0
YPR165W_id003	599.329	362.67	488.176	287.68	484.572	457.191	520.992	379.591	450.05	469.316	542.144	458.481	449.93	333.677	336.258	422.343	363.641	383.364	357.499	436.013	362.06	388.293	396.097	426.96
YPR165W_id001	19.0586	28.5907	45.6004	22.6405	39.1208	6.82026	58.7686	18.2505	43.7233	12.5322	20.7452	72.9698	20.2104	72.715	19.502	23.2461	90.1565	42.8304	21.2358	0	20.795	38.178	0	21.3422
YPR163C_id003	181.648	148.1	297.853	133.466	219.697	216.536	134.84	151.7	309.808	238.104	267.591	267.978	247.536	295.658	288.947	393.335	293.147	374.735	332.162	154.453	215.052	235.934	188.644	255.161
YPR163C_id001	82.7094	0	0	60.2448	38.8139	18.2204	69.3717	84.5676	0	0	0	69.6966	0	0	0	0	0	0	0	34.8764	0	19.8744	0	0
YPR162C_id002	0	0	0	11.393	0	0	0	13.2872	0	14.2784	0	23.8104	9.6045	0	0	0	0	0	0	16.6723	0	0	4.89331	12.5884
YPR162C_id001	18.2764	15.93	25.6205	0	16.9876	21.877	16.824	0	13.7775	0	18.1781	0	0	13.7717	6.51064	19.4597	28.799	34.214	17.4573	0	7.77676	16.8275	0	0
YPR161C_id003	29.0431	0	24.6676	21.5008	0	0	22.9158	29.12	0	0	0	17.123	39.0912	0	0	0	52.0572	0	0	0	0	32.4708	17.8735	0
YPR161C_id001	0	21.2649	6.48511	0	21.8046	27.4858	0	0	31.7673	36.887	33.599	26.1629	0	28.4113	29.5495	32.471	0	50.2394	31.3705	15.2561	27.6832	0	0	28.6555
YPR160C-A_id001	14.7957	0	19.5876	0	15.1129	0	0	0	0	11.1354	0	24.731	0	0	0	0	68.3745	0	0	64.3871	57.0893	0	68.1646	37.0754
YPR160W-A_id001	24.7761	25.6202	0	21.1241	30.0707	0	43.559	0	16.5753	0	27.0188	14.6098	138.37	18.1584	50.5625	98.1731	48.7828	33.9829	0	106.845	58.6809	119.191	53.9644	64.2824
YPR160W_id001	17.7228	2.87457	17.9768	0	3.55964	18.7418	3.42062	23.0173	3.66182	24.4821	3.87268	0	47.1771	28.9603	56.4409	22.0953	136.518	22.785	56.5761	53.8553	44.4491	93.1046	63.4692	66.0648
YPR159C-A_mRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509.286	0	0	0	0
YPR159W_id003	150.58	0	151.235	101.215	0	150.825	80.2511	120.055	128.534	126.849	0	96.9812	102.849	77.9299	86.8936	102.889	110.625	86.7221	79.07	0	77.7711	78.395	0	95.5257
YPR158W_id001	0	0	0	12.4926	10.1932	22.8013	27.5161	0	0	0	12.3878	29.4862	0	18.2861	18.028	0	0	0	0	0	25.2615	13.7609	0	12.6681
YPR156C_id001	0	0	85.8504	0	27.1616	67.4621	31.5605	5.37084	0	95.5683	10.3986	12.5227	0	27.1342	16.1789	44.5556	19.1392	51.1083	95.0909	65.0072	58.6838	0	0	0
YPR156C_id002	89.9258	77.6096	48.6216	59.3677	70.9598	36.8655	66.752	57.7908	73.4896	0	88.0507	146.358	82.1985	68.51	52.9714	61.8168	75.6943	46.8675	0	0	0	57.2159	38.5808	77.701
YPR155C_id002	48.5909	11.6791	34.9545	27.322	37.9792	0	18.2984	19.7294	19.6772	19.1821	34.0505	21.7873	0	16.7185	12.2741	20.7452	0	9.67524	12.6582	23.9397	13.2357	10.1679	0	22.8456
YPR154W_id001	27.9498	15.0307	9.07301	2.42804	15.2151	23.2548	0	0	5.56561	0	12.4711	31.0056	0	11.9396	8.52781	15.3677	5.30493	21.3457	14.7305	11.9721	0	8.35305	0	23.5485
YPR152C_id001	29.5455	17.3597	28.2106	0	0	25.3182	0	0	0	35.6302	0	0	0	0	0	0	0	18.358	0	14.7627	0	0	0	0
YPR150W_mRNA	0	0	0	0	0	0	0	15.1903	0	13.429	21.9155	0	0	6.54062	6.80266	14.5232	0	0	0	9.24362	6.7713	0	0	0
YPR151C_id001	9.17505	9.35016	9.06732	1.75305	11.4242	0	5.36823	3.88769	7.94102	0	0	0	0	0	0	0	10.741	5.10426	2.5011	3.80458	0	11.4263	2.25882	5.16531
YPR149W_id003	150.584	97.0679	103.797	50.2726	104.508	117.623	94.3459	110.772	52.5396	127.177	105.841	108.931	450.128	326.703	438.221	481.186	713.101	422.618	433.33	427.991	436.848	367.945	400.617	526.114
YPR148C_id001	186.415	102.093	132.61	83.0995	164.607	112.336	137.281	126.872	142.55	96.5715	137.515	150.175	81.0632	83.0038	97.8398	93.6896	136.835	119.466	99.4175	82.7859	68.7451	115.855	76.2905	114.774
YPR147C_id002	0	0	84.3776	0	0	33.125	61.3728	0	0	78.4274	53.6279	58.3118	30.7957	0	44.2695	33.5327	0	50.8714	0	43.9377	34.8894	41.4522	21.7052	56.9008
YPR146C_mRNA	78.0502	0	91.7375	0	0	0	126.958	47.9618	29.5244	112.441	122.358	81.756	72.3431	0	92.519	48.6503	0	115.7	0	103.173	0	123.988	50.5645	0
YPR145C-A_id001	19.1172	10.8309	13.7522	22.3703	22.2115	29.3054	39.5955	40.6591	8.51581	12.716	23.768	14.1435	9.23686	17.0244	17.7064	9.94508	6.1943	9.3049	0	6.03458	4.40621	8.80085	8.23551	12.5968
YPR145W_id003	199.365	122.485	0	114.924	0	169.653	184.808	150.198	186.087	0	0	195.185	0	202.366	234.598	282.496	340.218	245.088	233.251	280.896	253.215	314.028	405.621	340.083
YPR144C_id006	16.777	0	19.8051	13.807	14.3944	14.1757	8.31585	15.3706	21.8452	18.8769	15.4032	21.5632	19.9535	31.0299	21.5154	28.0708	13.2181	32.6633	23.4213	10.491	19.0366	14.2587	5.5595	25.4262
YPR143W_id001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR142C_mRNA	58.0718	42.2489	41.586	13.8801	55.2113	42.0896	0	57.5494	33.3586	50.9683	10.3141	13.0662	62.3111	82.191	123.623	23.6374	11.0714	87.8869	50.969	30.8279	0	21.4241	19.4473	42.3486
YPR141C_id001	12.9893	11.7745	0	0	0	18.2311	0	0	0	0	13.7807	0	0	6.16922	4.81228	0	8.86938	0	0	0	2.39505	0	0	0
YPR140W_id002	38.7913	37.2947	37.2067	34.1914	39.3337	0	60.0553	0	40.8428	0	0	59.1372	0	28.2638	26.1299	24.4062	0	48.0602	26.9475	17.519	13.0047	35.7161	13.6725	31.2654
YPR139C_id002	136.42	87.3323	99.7992	0	0	105.825	0	104.255	0	99.3494	96.5907	114.043	49.1564	45.2998	62.1058	59.4377	0	0	68.4663	52.2122	0	0	41.8352	0
YPR138C_id001	91.9467	48.7098	42.3774	59.8845	69.9243	67.7687	91.2351	93.46	79.788	46.9411	89.0769	49.4726	0	27.6481	46.4516	34.2377	0	54.6336	42.2022	45.3001	26.4214	39.5802	50.4123	0
YPR137C-B	0	35.0153	39.4716	26.2519	24.7951	66.8213	57.1603	53.8804	50.579	65.4315	42.1005	0	231.211	202.64	150.403	203.339	273.438	143.672	197.711	194.458	195.744	219.834	173.145	219.209
YPR137W_id004	0	0	12.2313	0	0	0	0	8.32661	0	0	0	25.3684	0	37.4756	18.4058	0	28.7349	30.36	40.1966	0	0	17.2206	0	11.8099
YPR135W_id003	12.47	8.58381	19.5483	8.78647	0	10.3832	13.0817	7.63889	0	8.43894	15.3565	0	6.27152	14.1248	9.79377	5.94523	14.6984	10.1834	12.2646	8.48159	3.79073	11.8221	0	13.3077
YPR135W_id001	0	0	0	0	13.0308	0	0	0	15.3699	0	0	14.8673	0	0	0	0	0	0	0	0	0	0	6.81288	0
YPR134W_id002	62.5146	39.0108	62.568	36.3489	60.6327	0	75.0609	0	58.1161	0	48.6614	0	52.5307	26.6252	25.1745	37.6221	36.1907	23.8129	38.9433	0	37.5877	30.0307	9.36719	0
YPR134W_id001	0	0	0	0	0	39.2206	0	50.1208	0	48.9635	0	47.5494	0	0	0	0	0	0	0	31.4449	0	0	0	26.3805
YPR133W-A_id005	293.369	173.823	391.254	181.84	233.325	299.786	213.148	195.76	173.783	212.842	232.667	344.165	242.577	343.321	122.183	205.517	529.29	295.373	213.343	187.152	144.644	231.126	70.4675	216.375
YPR133W-A_id001	16.2243	0	0	0	0	9.17932	4.21779	0	2.90727	4.24954	4.11752	3.6584	0	10.109	3.55564	7.36348	5.11467	21.2047	13.7551	2.44371	0	0	1.94186	0
YPR133C_id004	109.792	97.9465	101.335	77.0668	139.857	71.6523	119.643	89.5138	0	95.2066	124.579	122.382	77.3474	107.759	74.3866	91.5219	112.656	78.5651	96.8389	62.9344	61.9835	0	61.8972	85.0973
YPR133C_id001	0	0	0	0	0	0	0	0	99.9194	0	0	0	0	0	0	0	0	0	0	0	0	82.3602	0	0
YPR132W_id001	192.385	158.375	331.403	83.5201	211.039	270.174	130.743	271.286	267.673	311.624	265.858	240.955	243.195	227.774	222.061	267.591	161.692	365.977	222.679	267.481	536.802	174.803	74.9184	213.026
YPR129W_id001	145.136	104.799	141.254	95.6199	148.788	105.5	165.038	114.393	125.668	102.57	143.247	166.327	113.438	123.545	110.703	103.401	0	132.973	92.2354	98.3195	55.0964	104.153	42.295	121.948
YPR128C_id002	19.4342	0	0	20.7271	0	0	21.5557	0	0	0	0	0	0	21.0554	0	0	35.588	38.2012	0	0	30.7928	0	0	30.8573
YPR127W_id002	53.3528	46.7405	30.841	27.453	73.923	57.254	64.447	54.0487	59.4856	72.1845	73.4317	50.2621	0	9.75991	25.4027	52.3884	32.7864	25.6379	59.809	49.018	0	30.385	0	48.6452
YPR127W_id001	42.7009	0	16.6707	13.4521	0	12.8618	8.88772	13.2308	7.54509	0	0	0	43.5816	19.3699	18.256	0	38.5966	20.7108	0	5.67675	36.9591	5.57404	51.8093	0
YPR125W_id001	0	12.412	0	0	16.8322	58.7185	0	0	0	0	79.4283	0	0	0	38.801	0	0	15.3031	0	0	0	42.1876	0	0
YPR125W_id003	63.6571	31.2902	61.1726	47.0934	49.3075	0	65.9967	61.0686	50.0683	50.766	0	52.1056	70.6761	62.4489	0	49.7662	60.7598	50.213	58.4465	58.7212	36.1754	0	37.2328	42.6952
YPR122W_mRNA	19.522	10.725	15.8875	8.70243	15.9459	12.4546	16.8815	17.1113	11.5948	14.0612	17.6518	21.5915	10.2899	18.9653	11.5063	14.0373	12.1182	17.2762	13.5615	9.08371	8.7263	8.71485	10.7035	14.569
YPR121W_id001	3.3132	3.02573	14.0468	0	17.6159	11.8283	15.8602	13.1919	3.16293	8.66309	9.42523	22.0945	9.1572	18.4119	11.9685	0	10.5882	4.21968	0	0	7.94219	3.99344	9.64893	2.46393
YPR120C_id001	24.5123	0	19.1614	0	0	0	0	0	29.2397	0	0	35.1904	0	0	3.96498	0	0	0	0	0	0	0	0	12.6513
YPR119W_id001	19.4042	8.66151	11.8437	7.66698	20.4953	5.6515	14.6145	4.88222	17.2873	9.67596	10.5272	16.5309	11.0802	14.9236	8.98612	21.8009	2.53167	2.58261	7.58234	2.38751	0	0	4.55953	0
YPR118W_id001	0	0	131.867	0	0	0	0	0	0	0	0	107.156	0	0	0	0	0	60.1691	0	61.3238	0	56.2597	0	30.5206
YPR116W_id002	3.21867	2.32257	3.17423	2.87483	1.85655	2.04792	0.914616	0	0	0.899439	4.51955	0	4.87411	2.72267	3.27159	7.57109	0	7.51795	1.89618	4.51123	0.934367	2.57048	1.24307	1.94232
YPR116W_id001	0	0	0	0	0	0	0	0	1.64507	0	0	0	0	0	0	0	2.39178	0	0	0	0	0	0	0
YPR115W_id001	65.4247	45.0867	46.2385	41.8284	54.4101	44.1274	65.5084	49.8001	49.084	55.6138	70.7811	63.9714	42.1483	34.2419	24.4513	32.3425	41.1467	35.1961	29.6018	30.5839	28.0423	33.8179	30.6566	42.9666
YPR114W_id003	148.593	92.2924	125.104	73.9671	141.191	137.528	151.983	98.3211	126.499	125.278	136.299	175.892	108.492	94.0985	96.3392	130.614	140.104	117.326	99.3537	86.4944	101.984	92.729	76.8148	104.092
YPR114W_id001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR112C_id003	0	0	11.9015	0	10.8126	17.7471	0	25.071	0	9.92575	0	0	0	0	17.239	0	18.2693	0	0	13.3092	0	0	11.359	0
YPR112C_id001	7.58735	6.30464	0	15.2202	0	0	6.98439	0	17.575	0	14.3385	15.7174	9.53155	35.135	0	30.7564	0	42.8386	36.2366	0	20.2856	15.3689	0	14.9486
YPR110C_id002	88.4613	0	0	62.8478	128.474	87.7218	0	73.689	90.3038	89.2951	0	0	81.9218	149.348	97.2956	0	130.245	132.758	0	73.2434	76.4583	0	79.3921	0
YPR110C_id001	0	79.1342	111.055	0	0	0	77.823	0	0	0	93.2267	110.589	0	0	0	152.634	0	0	142.195	0	0	79.5315	0	128.544
YPR109W_id001	54.984	38.4583	48.8314	24.5105	58.6781	54.0583	50.6144	29.4519	56.2426	29.7874	26.3314	0	27.5505	0	0	48.322	47.9733	53.5245	48.6295	29.4304	0	0	0	0
YPR109W_id002	0	0	0	0	0	0	0	0	0	0	0	36.3069	0	41.8814	30.3021	0	0	0	0	0	13.1961	24.4748	28.1879	28.2004
YPR108W_id001	0	75.5711	0	68.0674	59.8653	0	100.591	0	65.786	0	0	41.9912	0	0	0	25.3028	28.3404	0	54.1586	59.5774	42.25	140.589	91.3599	47.692
YPR108W_id002	164.354	46.2806	122.307	0	91.4548	164.709	43.967	133.794	90.5958	132.118	142.332	115.852	139.654	94.6302	112.857	118.928	132.68	135.165	58.0541	43.9558	39.9531	0	0	63.8652
YPR106W_id001	0	8.71869	0	0	13.5224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8699	0	0	0	0
YPR105C_id003	41.9662	20.3367	29.6193	24.3551	40.4789	0	31.3423	0	0	30.4028	25.2019	43.7404	16.8336	31.0258	0	37.5774	0	28.5195	21.9336	0	27.0101	18.9551	15.6909	23.4005
YPR103W_id001	0	0	0	0	0	0	0	9.62501	9.94716	0	10.9211	0	0	0	12.7453	0	0	38.678	0	0	0	8.88256	0	0
YPR102C_id001	755.884	381.827	567.622	386.892	482.655	433.942	267.515	463.261	698.393	693.075	421.102	589.386	403.361	776.588	742.493	608.653	740.813	889.735	866.631	685.205	714.143	497.112	212.664	787.879
YPR102C_id003	834.38	709.513	1222.5	531.69	872.886	1050.03	1025.59	947.824	999.948	981.948	1246.04	1283.39	941.032	859.734	681.955	1194.95	765.627	1029.95	879.352	715.458	679.927	876.375	889.971	1006.19
YPR101W_id001	43.7561	17.7801	0	0	0	33.5927	23.2005	12.408	20.9396	0	31.8602	27.5836	17.2798	0	16.4068	0	43.2826	36.0336	0	31.7378	6.52273	0	10.9272	32.0833
YPR101W_id002	0	0	70.3991	14.8483	25.5797	0	0	0	0	46.9241	0	0	0	40.7516	0	35.1172	0	0	26.8291	0	0	19.8781	0	0
YPR100W_id007	154.012	108.659	175.271	0	160.435	212.977	191.128	0	192.659	0	182.748	0	0	0	115.178	134.725	151.741	213.598	135.963	133.931	103.725	158.308	74.908	0
YPR100W_id001	0	0	0	72.0046	0	0	0	168.329	0	98.3339	0	171.024	96.8579	107.989	0	0	0	0	0	0	0	0	0	180.901
YPR099C_id002	0	0	0	0	0	0	0	0	0	0	0	0	4.67709	0	0	0	0	0	0	0	0	0	14.412	0
YPR098C_id002	46.1978	35.1754	53.689	37.1107	48.6936	50.5941	47.8991	29.6394	53.206	32.5722	52.8254	19.2073	17.4318	29.4175	0	0	20.8625	30.5554	10.814	0	4.73062	16.1048	31.471	44.1326
YPR097W_id001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9085	0	0	0	0	0	0	21.5465	0	0
YPR096C_mRNA	0	27.9324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR094W_id003	73.0884	50.6101	78.0722	52.9442	28.3061	39.0263	61.6735	30.628	50.1456	0	25.8723	72.0973	23.5427	16.759	0	20.0357	13.4762	28.5499	40.7242	22.0055	0	22.4314	0	19.0408
YPR094W_id001	0	0	24.2004	0	0	0	0	29.3468	12.7527	36.5481	12.6791	0	0	13.2379	22.1596	9.56958	9.15703	3.30409	0	0	13.9578	0	17.6709	27.3372
YPR093C_id002	0	34.3314	28.7388	30.9878	58.1303	42.4204	59.9542	17.0196	31.7031	0	45.2158	0	45.9932	0	34.0645	33.4691	38.2329	0	0	30.6644	33.6849	33.4432	32.4167	35.4636
YPR093C_id001	48.9345	0	0	0	0	0	0	0	0	33.2011	0	41.0303	0	36.2601	0	0	0	32.3986	39.7305	0	0	0	0	0
YPR092W_id001	14.2766	0	9.94794	10.9795	0	0	5.39593	9.30709	0	0	5.31314	5.23136	0	23.5648	5.10414	6.31146	0	4.74317	17.1758	0	5.75194	9.97336	0	11.8811
YPR091C_id001	0	0	0	32.2522	61.7785	50.1272	55.8362	54.9366	63.2641	45.0813	56.3552	66.792	0	30.8374	27.5375	42.1298	0	37.6477	36.8164	34.4995	23.3973	39.4696	20.3025	0
YPR087W_mRNA	451.507	102.729	475.854	0	492.631	145.275	770.801	442.658	410.123	193.948	737.181	223.799	242.192	180.641	132.208	225.81	0	370.866	109.352	565.001	445.203	337.41	103.649	277.893
YPR088C_id002	110.877	0	105.619	81.9788	0	0	0	0	129.462	135.02	113.723	0	123.552	120.412	0	129.973	0	101.04	0	0	144.913	0	103.09	111.812
YPR086W_id003	69.9737	0	0	0	91.0553	0	0	0	0	0	55.678	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR086W_id001	0	71.675	102.591	76.1351	0	82.1161	63.523	79.2537	70.7004	88.3203	0	91.8962	68.3512	69.134	70.3059	97.223	81.2812	97.4041	70.858	68.5629	71.5723	96.8923	74.318	61.1809
YPR083W_id003	13.2541	10.9223	8.08987	15.308	12.3195	0	0	11.2757	0	0	14.3812	13.0743	0	10.7301	4.46399	14.2955	12.3412	16.4211	18.4147	14.1483	0	7.76577	9.34318	13.0566
YPR082C_id001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR081C_id001	42.5587	23.2879	27.5314	16.2998	14.973	32.0851	24.1164	21.459	25.4276	32.5388	28.1738	40.9238	15.1025	8.3181	12.1451	16.7746	27.5845	17.089	15.2409	11.118	7.87101	15.057	7.49357	22.2354
YPR080W_id002	7102.23	4554.94	6598.46	4439.42	7374.5	5832.19	6017.75	6028.69	6837.56	6786	7551.83	7139.06	7924.19	7593.16	7685.45	8556.94	5952.04	8335.34	8591.35	6823.45	7843.64	6914.54	7236.64	7130.94
YPR080W_id001	0	0	201.066	0	0	0	0	0	0	0	0	0	0	0	235.961	2e-06	0	0	0	0	306.909	0	0	0
YPR079W_id001	61.9869	45.4871	62.8522	34.343	59.262	59.9827	57.0609	48.2142	36.2903	68.0019	59.8921	0	44.4975	26.8119	32.8072	42.0247	36.2795	34.4809	30.4503	27.1948	35.9215	37.505	21.3627	29.6593
YPR078C_mRNA	6.89672	6.94639	11.025	9.22318	12.8208	8.41732	17.1505	7.82302	12.2886	14.7116	13.7193	11.4421	6.66457	4.09447	6.38777	6.81874	7.06387	2.23789	6.58765	6.22941	0	4.25045	4.06267	2.26465
YPR077C_mRNA	0	0	0	0	0	0	13.5014	0	0	0	0	15.4159	0	0	0	0	0	0	0	0	15.0967	14.9549	13.3869	0
YPR075C_id001	205.807	178.251	209.312	113.889	232.522	207.876	240.081	167.54	214.968	209.234	271.758	217.018	116.585	101.118	113.386	112.265	129.021	94.9909	88.1239	120.19	114.499	101.28	110.06	108.361
YPR073C_id001	53.0696	19.5244	97.3925	16.826	84.3042	58.8904	85.0164	79.1952	0	80.8643	91.7951	37.9377	14.5387	43.5333	40.8144	40.9789	0	53.8306	48.3585	56.5611	42.7755	83.4436	23.1647	78.8159
YPR071W_id002	0	0	0	0	17.7862	26.2739	0	11.3955	0	0	0	0	16.6423	0	0	0	0	24.2159	0	19.0124	5.29251	10.5711	0	0
YPR071W_id001	41.5804	17.1327	30.8178	15.1655	0	0	15.6584	0	20.2059	27.6456	20.6784	31.6946	0	23.5635	17.5054	24.2924	23.2299	0	21.6638	0	0	0	6.51361	29.7897
YPR070W_id001	0	0	0	0	0	0	18.0804	10.7594	0	0	0	0	0	0	0	20.1745	15.9677	0	28.8279	9.4495	0	9.71625	0	0
YPR069C_id001	161.244	104.403	146.623	88.2148	144.035	139.929	129.153	124.705	175.369	126.35	137.466	146.663	167.958	164.105	143.526	0	216.628	224.234	204.024	174.014	135.142	158.102	119.078	177.407
YPR068C_id004	0	0	14.1309	10.8363	13.6938	10.7886	9.49332	18.8003	0	14.8154	24.9109	23.2526	5.6947	0	16.3745	10.1963	12.0718	20.0783	11.2579	17.2993	5.43302	0	7.61602	11.6105
YPR067W_id001	31.5385	47.5603	12.8696	24.093	28.3025	0	66.3363	30.0402	46.3704	46.3599	33.1832	51.3398	34.4537	23.7682	26.2806	29.0271	43.739	33.7761	30.5927	20.9859	30.7581	0	26.4449	40.9041
YPR066W_id001	0	0	0	0	0	0	0	7.58696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64802
YPR065W_id001	48.5103	0	0	0	0	0	0	56.7339	0	32.8834	0	0	0	0	0	30.1004	0	39.5154	13.043	0	0	0	0	0
