transcript_id	protein_id	denovo_feature_id	best_hit_id	annotation_status
TRINITY_DN1062_c0_g1_i1	TRINITY_DN1062_c0_g1_i1.p1	TRINITY_DN1062_c0_g1_i1	YKL106W	homology_hit_with_go
TRINITY_DN1063_c0_g1_i1	TRINITY_DN1063_c0_g1_i1.p1	TRINITY_DN1063_c0_g1_i1	YIL151C	homology_hit_with_go
TRINITY_DN1064_c0_g1_i1	TRINITY_DN1064_c0_g1_i1.p1	TRINITY_DN1064_c0_g1_i1	YDR505C	homology_hit_with_go
TRINITY_DN1065_c0_g1_i1	TRINITY_DN1065_c0_g1_i1.p1	TRINITY_DN1065_c0_g1_i1	YHR155W	homology_hit_with_go
TRINITY_DN1066_c0_g1_i1	TRINITY_DN1066_c0_g1_i1.p1	TRINITY_DN1066_c0_g1_i1	YJL008C	homology_hit_with_go
TRINITY_DN1067_c0_g1_i1	TRINITY_DN1067_c0_g1_i1.p1	TRINITY_DN1067_c0_g1_i1	YLR278C	homology_hit_with_go
TRINITY_DN1068_c0_g1_i1	TRINITY_DN1068_c0_g1_i1.p1	TRINITY_DN1068_c0_g1_i1	YMR176W	homology_hit_with_go
TRINITY_DN1069_c0_g1_i1	TRINITY_DN1069_c0_g1_i1.p1	TRINITY_DN1069_c0_g1_i1	YKL186C	homology_hit_with_go
TRINITY_DN106_c0_g1_i1	TRINITY_DN106_c0_g1_i1.p1	TRINITY_DN106_c0_g1_i1	YDL014W	homology_hit_with_go
TRINITY_DN106_c0_g1_i2	TRINITY_DN106_c0_g1_i2.p1	TRINITY_DN106_c0_g1_i2	YDL014W	homology_hit_with_go
TRINITY_DN1070_c0_g1_i1	TRINITY_DN1070_c0_g1_i1.p1	TRINITY_DN1070_c0_g1_i1	YHR128W	homology_hit_with_go
TRINITY_DN1071_c0_g1_i1	TRINITY_DN1071_c0_g1_i1.p1	TRINITY_DN1071_c0_g1_i1	YOR334W	homology_hit_with_go
TRINITY_DN1072_c0_g1_i1	TRINITY_DN1072_c0_g1_i1.p1	TRINITY_DN1072_c0_g1_i1	YLR118C	homology_hit_with_go
TRINITY_DN1073_c0_g1_i1	TRINITY_DN1073_c0_g1_i1.p1	TRINITY_DN1073_c0_g1_i1	YDR057W	homology_hit_with_go
TRINITY_DN1075_c0_g1_i1	TRINITY_DN1075_c0_g1_i1.p1	TRINITY_DN1075_c0_g1_i1	YAL063C	homology_hit_with_go
TRINITY_DN1076_c0_g1_i1	TRINITY_DN1076_c0_g1_i1.p1	TRINITY_DN1076_c0_g1_i1	YLR425W	homology_hit_with_go
TRINITY_DN1077_c0_g1_i1	TRINITY_DN1077_c0_g1_i1.p1	TRINITY_DN1077_c0_g1_i1	YDR394W	homology_hit_with_go
TRINITY_DN1078_c0_g1_i1	TRINITY_DN1078_c0_g1_i1.p1	TRINITY_DN1078_c0_g1_i1	YMR086W	homology_hit_with_go
TRINITY_DN1079_c0_g1_i1	TRINITY_DN1079_c0_g1_i1.p1	TRINITY_DN1079_c0_g1_i1	YAL031C	homology_hit_with_go
TRINITY_DN107_c0_g1_i1	TRINITY_DN107_c0_g1_i1.p1	TRINITY_DN107_c0_g1_i1	YLR432W	homology_hit_with_go
TRINITY_DN107_c0_g1_i2	TRINITY_DN107_c0_g1_i2.p1	TRINITY_DN107_c0_g1_i2	YHR216W	homology_hit_with_go
TRINITY_DN107_c0_g1_i3	TRINITY_DN107_c0_g1_i3.p1	TRINITY_DN107_c0_g1_i3	YLR432W	homology_hit_with_go
TRINITY_DN107_c0_g1_i4	TRINITY_DN107_c0_g1_i4.p1	TRINITY_DN107_c0_g1_i4	YLR432W	homology_hit_with_go
TRINITY_DN1080_c0_g1_i1	TRINITY_DN1080_c0_g1_i1.p1	TRINITY_DN1080_c0_g1_i1	YER147C	homology_hit_with_go
TRINITY_DN1081_c0_g1_i1	TRINITY_DN1081_c0_g1_i1.p2	TRINITY_DN1081_c0_g1_i1	YNL297C	homology_hit_with_go
TRINITY_DN1082_c0_g1_i1	TRINITY_DN1082_c0_g1_i1.p1	TRINITY_DN1082_c0_g1_i1	YOR141C	homology_hit_with_go
TRINITY_DN1083_c0_g1_i1	TRINITY_DN1083_c0_g1_i1.p1	TRINITY_DN1083_c0_g1_i1	YPL083C	homology_hit_with_go
TRINITY_DN1084_c0_g1_i1	TRINITY_DN1084_c0_g1_i1.p1	TRINITY_DN1084_c0_g1_i1	YML094W	homology_hit_with_go
TRINITY_DN1085_c0_g1_i1	TRINITY_DN1085_c0_g1_i1.p1	TRINITY_DN1085_c0_g1_i1	YGL086W	homology_hit_with_go
TRINITY_DN1087_c0_g1_i1	TRINITY_DN1087_c0_g1_i1.p1	TRINITY_DN1087_c0_g1_i1	YDR127W	homology_hit_with_go
TRINITY_DN1088_c0_g1_i1	TRINITY_DN1088_c0_g1_i1.p1	TRINITY_DN1088_c0_g1_i1	YLL031C	homology_hit_with_go
TRINITY_DN1089_c0_g1_i1	TRINITY_DN1089_c0_g1_i1.p1	TRINITY_DN1089_c0_g1_i1	YDR419W	homology_hit_with_go
TRINITY_DN108_c0_g1_i1	TRINITY_DN108_c0_g1_i1.p1	TRINITY_DN108_c0_g1_i1	YDL182W	homology_hit_with_go
TRINITY_DN108_c0_g1_i2	TRINITY_DN108_c0_g1_i2.p1	TRINITY_DN108_c0_g1_i2	YDL131W	homology_hit_with_go
TRINITY_DN1090_c0_g1_i1	TRINITY_DN1090_c0_g1_i1.p1	TRINITY_DN1090_c0_g1_i1	YJL181W	homology_hit_with_go
TRINITY_DN1091_c0_g1_i1	TRINITY_DN1091_c0_g1_i1.p1	TRINITY_DN1091_c0_g1_i1	YDR159W	homology_hit_with_go
TRINITY_DN1092_c0_g1_i1	TRINITY_DN1092_c0_g1_i1.p1	TRINITY_DN1092_c0_g1_i1	YKR050W	homology_hit_with_go
TRINITY_DN1093_c0_g1_i1	TRINITY_DN1093_c0_g1_i1.p1	TRINITY_DN1093_c0_g1_i1	YBL071W-A	homology_hit_with_go
TRINITY_DN1094_c0_g1_i1	TRINITY_DN1094_c0_g1_i1.p1	TRINITY_DN1094_c0_g1_i1	YLR390W-A	homology_hit_with_go
TRINITY_DN1095_c0_g1_i1	TRINITY_DN1095_c0_g1_i1.p1	TRINITY_DN1095_c0_g1_i1	YMR283C	homology_hit_with_go
TRINITY_DN1096_c0_g1_i1	TRINITY_DN1096_c0_g1_i1.p1	TRINITY_DN1096_c0_g1_i1	YDR060W	homology_hit_with_go
TRINITY_DN1097_c0_g1_i1	TRINITY_DN1097_c0_g1_i1.p1	TRINITY_DN1097_c0_g1_i1	YJR012C	homology_hit_with_go
TRINITY_DN1098_c0_g1_i1	TRINITY_DN1098_c0_g1_i1.p1	TRINITY_DN1098_c0_g1_i1	YKL139W	homology_hit_with_go
TRINITY_DN1099_c0_g1_i1	TRINITY_DN1099_c0_g1_i1.p1	TRINITY_DN1099_c0_g1_i1	YPL111W	homology_hit_with_go
TRINITY_DN109_c0_g1_i1	TRINITY_DN109_c0_g1_i1.p1	TRINITY_DN109_c0_g1_i1	YLR167W	homology_hit_with_go
TRINITY_DN109_c0_g1_i2	TRINITY_DN109_c0_g1_i2.p1	TRINITY_DN109_c0_g1_i2	YIL148W	homology_hit_with_go
TRINITY_DN109_c0_g1_i3	TRINITY_DN109_c0_g1_i3.p1	TRINITY_DN109_c0_g1_i3	YIL147C	homology_hit_with_go
TRINITY_DN109_c1_g1_i1	TRINITY_DN109_c1_g1_i1.p1	TRINITY_DN109_c1_g1_i1	YLL039C	homology_hit_with_go
TRINITY_DN10_c0_g1_i1	TRINITY_DN10_c0_g1_i1.p1	TRINITY_DN10_c0_g1_i1	YEL034C-A	homology_hit
TRINITY_DN1100_c0_g1_i1	TRINITY_DN1100_c0_g1_i1.p2	TRINITY_DN1100_c0_g1_i1	YPL158C	homology_hit_with_go
TRINITY_DN1101_c0_g1_i1	TRINITY_DN1101_c0_g1_i1.p1	TRINITY_DN1101_c0_g1_i1	YNL004W	homology_hit_with_go
TRINITY_DN1102_c0_g1_i1	TRINITY_DN1102_c0_g1_i1.p1	TRINITY_DN1102_c0_g1_i1	YER183C	homology_hit_with_go
TRINITY_DN1103_c0_g1_i1	TRINITY_DN1103_c0_g1_i1.p1	TRINITY_DN1103_c0_g1_i1	YNL295W	homology_hit_with_go
TRINITY_DN1104_c0_g1_i1	TRINITY_DN1104_c0_g1_i1.p1	TRINITY_DN1104_c0_g1_i1	YCR004C	homology_hit_with_go
TRINITY_DN1105_c0_g1_i1	TRINITY_DN1105_c0_g1_i1.p1	TRINITY_DN1105_c0_g1_i1	YLR144C	homology_hit_with_go
TRINITY_DN1106_c0_g1_i1	TRINITY_DN1106_c0_g1_i1.p2	TRINITY_DN1106_c0_g1_i1	YDR134C	homology_hit_with_go
TRINITY_DN1107_c0_g1_i1	TRINITY_DN1107_c0_g1_i1.p1	TRINITY_DN1107_c0_g1_i1	YIL009W	homology_hit_with_go
TRINITY_DN1108_c0_g1_i1	TRINITY_DN1108_c0_g1_i1.p1	TRINITY_DN1108_c0_g1_i1	YKL155C	homology_hit_with_go
TRINITY_DN1109_c0_g1_i1	TRINITY_DN1109_c0_g1_i1.p1	TRINITY_DN1109_c0_g1_i1	YPL014W	homology_hit_with_go
TRINITY_DN110_c0_g1_i1	TRINITY_DN110_c0_g1_i1.p1	TRINITY_DN110_c0_g1_i1	YMR113W	homology_hit_with_go
TRINITY_DN1112_c0_g1_i1	TRINITY_DN1112_c0_g1_i1.p1	TRINITY_DN1112_c0_g1_i1	YPR049C	homology_hit_with_go
TRINITY_DN1113_c0_g1_i1	TRINITY_DN1113_c0_g1_i1.p1	TRINITY_DN1113_c0_g1_i1	YDR138W	homology_hit_with_go
TRINITY_DN1114_c0_g1_i1	TRINITY_DN1114_c0_g1_i1.p1	TRINITY_DN1114_c0_g1_i1	YJL063C	homology_hit_with_go
TRINITY_DN1115_c0_g1_i1	TRINITY_DN1115_c0_g1_i1.p1	TRINITY_DN1115_c0_g1_i1	YJR140C	homology_hit_with_go
TRINITY_DN1117_c0_g1_i1	TRINITY_DN1117_c0_g1_i1.p1	TRINITY_DN1117_c0_g1_i1	YJL201W	homology_hit_with_go
TRINITY_DN1118_c0_g1_i1	TRINITY_DN1118_c0_g1_i1.p1	TRINITY_DN1118_c0_g1_i1	YGR040W	homology_hit_with_go
TRINITY_DN1119_c0_g1_i1	TRINITY_DN1119_c0_g1_i1.p1	TRINITY_DN1119_c0_g1_i1	YGR032W	homology_hit_with_go
TRINITY_DN1120_c0_g1_i1	TRINITY_DN1120_c0_g1_i1.p1	TRINITY_DN1120_c0_g1_i1	YPR095C	homology_hit_with_go
TRINITY_DN1121_c0_g1_i1	TRINITY_DN1121_c0_g1_i1.p1	TRINITY_DN1121_c0_g1_i1	YGR032W	homology_hit_with_go
TRINITY_DN1122_c0_g1_i1	TRINITY_DN1122_c0_g1_i1.p1	TRINITY_DN1122_c0_g1_i1	YGR099W	homology_hit_with_go
TRINITY_DN1123_c0_g1_i1	TRINITY_DN1123_c0_g1_i1.p1	TRINITY_DN1123_c0_g1_i1	YDR109C	homology_hit_with_go
TRINITY_DN1124_c0_g1_i1	TRINITY_DN1124_c0_g1_i1.p1	TRINITY_DN1124_c0_g1_i1	YLR454W	homology_hit_with_go
TRINITY_DN1125_c0_g1_i1	TRINITY_DN1125_c0_g1_i1.p1	TRINITY_DN1125_c0_g1_i1	YLR330W	homology_hit_with_go
TRINITY_DN1126_c0_g1_i1	TRINITY_DN1126_c0_g1_i1.p1	TRINITY_DN1126_c0_g1_i1	YGR070W	homology_hit_with_go
TRINITY_DN1128_c0_g1_i1	TRINITY_DN1128_c0_g1_i1.p1	TRINITY_DN1128_c0_g1_i1	YOR065W	homology_hit_with_go
TRINITY_DN1129_c0_g1_i1	TRINITY_DN1129_c0_g1_i1.p1	TRINITY_DN1129_c0_g1_i1	YNL008C	homology_hit_with_go
TRINITY_DN1130_c0_g1_i1	TRINITY_DN1130_c0_g1_i1.p1	TRINITY_DN1130_c0_g1_i1	YNL291C	homology_hit_with_go
TRINITY_DN1131_c0_g1_i1	TRINITY_DN1131_c0_g1_i1.p1	TRINITY_DN1131_c0_g1_i1	YKL107W	homology_hit_with_go
TRINITY_DN1132_c0_g1_i1	TRINITY_DN1132_c0_g1_i1.p2	TRINITY_DN1132_c0_g1_i1	YGL061C	homology_hit_with_go
TRINITY_DN1133_c0_g1_i1	TRINITY_DN1133_c0_g1_i1.p1	TRINITY_DN1133_c0_g1_i1	YLR351C	homology_hit_with_go
TRINITY_DN1134_c0_g1_i1	TRINITY_DN1134_c0_g1_i1.p1	TRINITY_DN1134_c0_g1_i1	YKR031C	homology_hit_with_go
TRINITY_DN1136_c0_g1_i1	TRINITY_DN1136_c0_g1_i1.p1	TRINITY_DN1136_c0_g1_i1	YAL032C	homology_hit_with_go
TRINITY_DN1137_c0_g1_i1	TRINITY_DN1137_c0_g1_i1.p1	TRINITY_DN1137_c0_g1_i1	YBR159W	homology_hit_with_go
TRINITY_DN1138_c0_g1_i1	TRINITY_DN1138_c0_g1_i1.p1	TRINITY_DN1138_c0_g1_i1	YJL050W	homology_hit_with_go
TRINITY_DN1139_c0_g1_i1	TRINITY_DN1139_c0_g1_i1.p2	TRINITY_DN1139_c0_g1_i1	YJL168C	homology_hit_with_go
TRINITY_DN113_c0_g1_i1	TRINITY_DN113_c0_g1_i1.p1	TRINITY_DN113_c0_g1_i1	YBR092C	homology_hit_with_go
TRINITY_DN113_c0_g1_i2	TRINITY_DN113_c0_g1_i2.p1	TRINITY_DN113_c0_g1_i2	YBR093C	homology_hit_with_go
TRINITY_DN113_c0_g1_i3	TRINITY_DN113_c0_g1_i3.p1	TRINITY_DN113_c0_g1_i3	YBR092C	homology_hit_with_go
TRINITY_DN1140_c0_g1_i1	TRINITY_DN1140_c0_g1_i1.p2	TRINITY_DN1140_c0_g1_i1	YMR098C	homology_hit_with_go
TRINITY_DN1141_c0_g1_i1	TRINITY_DN1141_c0_g1_i1.p1	TRINITY_DN1141_c0_g1_i1	YNL282W	homology_hit_with_go
TRINITY_DN1142_c0_g1_i1	TRINITY_DN1142_c0_g1_i1.p1	TRINITY_DN1142_c0_g1_i1	YHL034C	homology_hit_with_go
TRINITY_DN1143_c0_g1_i1	TRINITY_DN1143_c0_g1_i1.p1	TRINITY_DN1143_c0_g1_i1	YML054C	homology_hit_with_go
TRINITY_DN1144_c0_g1_i1	TRINITY_DN1144_c0_g1_i1.p1	TRINITY_DN1144_c0_g1_i1	YEL020C	homology_hit_with_go
TRINITY_DN1146_c0_g1_i1	TRINITY_DN1146_c0_g1_i1.p1	TRINITY_DN1146_c0_g1_i1	YPR114W	homology_hit_with_go
TRINITY_DN1147_c0_g1_i1	TRINITY_DN1147_c0_g1_i1.p1	TRINITY_DN1147_c0_g1_i1	YLR115W	homology_hit_with_go
TRINITY_DN1148_c0_g1_i1	TRINITY_DN1148_c0_g1_i1.p1	TRINITY_DN1148_c0_g1_i1	YHL014C	homology_hit_with_go
TRINITY_DN1149_c0_g1_i1	TRINITY_DN1149_c0_g1_i1.p1	TRINITY_DN1149_c0_g1_i1	YDR440W	homology_hit_with_go
TRINITY_DN114_c0_g1_i1	TRINITY_DN114_c0_g1_i1.p1	TRINITY_DN114_c0_g1_i1	YGR204W	homology_hit_with_go
TRINITY_DN1150_c0_g1_i1	TRINITY_DN1150_c0_g1_i1.p1	TRINITY_DN1150_c0_g1_i1	YPR030W	homology_hit_with_go
TRINITY_DN1152_c0_g1_i1	TRINITY_DN1152_c0_g1_i1.p1	TRINITY_DN1152_c0_g1_i1	YBR140C	homology_hit_with_go
TRINITY_DN1153_c0_g1_i1	TRINITY_DN1153_c0_g1_i1.p1	TRINITY_DN1153_c0_g1_i1	YLR265C	homology_hit_with_go
TRINITY_DN1154_c0_g1_i1	TRINITY_DN1154_c0_g1_i1.p1	TRINITY_DN1154_c0_g1_i1	YNL325C	homology_hit_with_go
TRINITY_DN1156_c0_g1_i1	TRINITY_DN1156_c0_g1_i1.p1	TRINITY_DN1156_c0_g1_i1	YML117W	homology_hit_with_go
TRINITY_DN1157_c0_g1_i1	TRINITY_DN1157_c0_g1_i1.p1	TRINITY_DN1157_c0_g1_i1	YJL094C	homology_hit_with_go
TRINITY_DN1158_c0_g1_i1	TRINITY_DN1158_c0_g1_i1.p1	TRINITY_DN1158_c0_g1_i1	YML119W	homology_hit_with_go
TRINITY_DN115_c0_g1_i1	TRINITY_DN115_c0_g1_i1.p1	TRINITY_DN115_c0_g1_i1	YDR534C	homology_hit_with_go
TRINITY_DN115_c0_g1_i2	TRINITY_DN115_c0_g1_i2.p1	TRINITY_DN115_c0_g1_i2	YDR534C	homology_hit_with_go
TRINITY_DN115_c0_g1_i3	TRINITY_DN115_c0_g1_i3.p1	TRINITY_DN115_c0_g1_i3	YDR534C	homology_hit_with_go
TRINITY_DN1160_c0_g1_i1	TRINITY_DN1160_c0_g1_i1.p1	TRINITY_DN1160_c0_g1_i1	YMR240C	homology_hit_with_go
TRINITY_DN1161_c0_g1_i1	TRINITY_DN1161_c0_g1_i1.p1	TRINITY_DN1161_c0_g1_i1	YGR177C	homology_hit_with_go
TRINITY_DN1162_c0_g1_i1	TRINITY_DN1162_c0_g1_i1.p1	TRINITY_DN1162_c0_g1_i1	YKR017C	homology_hit_with_go
TRINITY_DN1163_c0_g1_i1	TRINITY_DN1163_c0_g1_i1.p1	TRINITY_DN1163_c0_g1_i1	YJL216C	homology_hit_with_go
